cell ID,x-coordinate,y-coordinate,z-coordinate,velocity-magnitude,x-velocity,y-velocity,z-velocity,pollutant
1,3.05E+00,3.05E+00,5.00E-02,4.69E-07,-9.36E-08,3.10E-07,-3.39E-07,1.00E+00
2,3.05E+00,3.05E+00,1.50E-01,6.48E-07,-6.08E-07,1.59E-07,-1.57E-07,1.00E+00
3,3.05E+00,3.05E+00,2.50E-01,1.39E-06,-9.83E-07,-5.77E-08,9.76E-07,1.00E+00
4,3.05E+00,3.05E+00,3.50E-01,3.20E-06,-1.32E-06,-1.71E-07,2.91E-06,1.00E+00
5,3.05E+00,3.05E+00,4.50E-01,5.93E-06,-1.65E-06,-2.12E-07,5.70E-06,9.99E-01
6,3.05E+00,3.05E+00,5.50E-01,9.25E-06,-1.96E-06,-2.09E-07,9.03E-06,9.99E-01
7,3.05E+00,3.05E+00,6.50E-01,1.31E-05,-2.22E-06,-1.67E-07,1.29E-05,9.99E-01
8,3.05E+00,3.05E+00,7.50E-01,1.72E-05,-2.47E-06,-1.02E-07,1.71E-05,9.98E-01
9,3.05E+00,3.05E+00,8.50E-01,2.16E-05,-2.65E-06,-2.54E-08,2.15E-05,9.98E-01
10,3.05E+00,3.05E+00,9.50E-01,2.61E-05,-2.80E-06,3.94E-08,2.60E-05,9.97E-01
11,3.05E+00,3.15E+00,5.00E-02,7.63E-07,-1.72E-07,7.21E-07,-1.78E-07,1.00E+00
12,3.05E+00,3.15E+00,1.50E-01,1.51E-06,-1.31E-06,3.24E-07,6.88E-07,1.00E+00
13,3.05E+00,3.15E+00,2.50E-01,3.86E-06,-1.94E-06,-2.69E-07,3.32E-06,1.00E+00
14,3.05E+00,3.15E+00,3.50E-01,7.63E-06,-2.43E-06,-7.58E-07,7.19E-06,1.00E+00
15,3.05E+00,3.15E+00,4.50E-01,1.28E-05,-2.80E-06,-1.06E-06,1.24E-05,1.00E+00
16,3.05E+00,3.15E+00,5.50E-01,1.88E-05,-3.11E-06,-1.24E-06,1.85E-05,9.99E-01
17,3.05E+00,3.15E+00,6.50E-01,2.55E-05,-3.34E-06,-1.32E-06,2.53E-05,9.99E-01
18,3.05E+00,3.15E+00,7.50E-01,3.27E-05,-3.43E-06,-1.33E-06,3.25E-05,9.99E-01
19,3.05E+00,3.15E+00,8.50E-01,4.00E-05,-3.38E-06,-1.32E-06,3.98E-05,9.98E-01
20,3.05E+00,3.15E+00,9.50E-01,4.71E-05,-3.16E-06,-1.33E-06,4.70E-05,9.98E-01
21,3.05E+00,3.25E+00,5.00E-02,9.32E-07,-6.61E-08,9.28E-07,-6.28E-08,1.00E+00
22,3.05E+00,3.25E+00,1.50E-01,1.90E-06,-1.42E-06,9.78E-08,1.26E-06,1.00E+00
23,3.05E+00,3.25E+00,2.50E-01,5.44E-06,-2.14E-06,-1.12E-06,4.88E-06,1.00E+00
24,3.05E+00,3.25E+00,3.50E-01,1.04E-05,-2.64E-06,-2.19E-06,9.85E-06,1.00E+00
25,3.05E+00,3.25E+00,4.50E-01,1.68E-05,-2.98E-06,-2.95E-06,1.63E-05,1.00E+00
26,3.05E+00,3.25E+00,5.50E-01,2.41E-05,-3.23E-06,-3.49E-06,2.36E-05,9.99E-01
27,3.05E+00,3.25E+00,6.50E-01,3.20E-05,-3.36E-06,-3.86E-06,3.16E-05,9.99E-01
28,3.05E+00,3.25E+00,7.50E-01,4.03E-05,-3.32E-06,-4.12E-06,3.99E-05,9.99E-01
29,3.05E+00,3.25E+00,8.50E-01,4.85E-05,-3.10E-06,-4.35E-06,4.82E-05,9.99E-01
30,3.05E+00,3.25E+00,9.50E-01,5.64E-05,-2.68E-06,-4.64E-06,5.62E-05,9.98E-01
31,3.05E+00,3.35E+00,5.00E-02,7.08E-07,1.13E-07,6.98E-07,4.54E-08,1.00E+00
32,3.05E+00,3.35E+00,1.50E-01,2.25E-06,-1.30E-06,-8.08E-07,1.65E-06,1.00E+00
33,3.05E+00,3.35E+00,2.50E-01,6.78E-06,-2.00E-06,-2.69E-06,5.89E-06,1.00E+00
34,3.05E+00,3.35E+00,3.50E-01,1.26E-05,-2.46E-06,-4.34E-06,1.15E-05,1.00E+00
35,3.05E+00,3.35E+00,4.50E-01,1.96E-05,-2.74E-06,-5.64E-06,1.85E-05,1.00E+00
36,3.05E+00,3.35E+00,5.50E-01,2.74E-05,-2.92E-06,-6.62E-06,2.64E-05,1.00E+00
37,3.05E+00,3.35E+00,6.50E-01,3.57E-05,-2.96E-06,-7.34E-06,3.48E-05,9.99E-01
38,3.05E+00,3.35E+00,7.50E-01,4.42E-05,-2.83E-06,-7.91E-06,4.34E-05,9.99E-01
39,3.05E+00,3.35E+00,8.50E-01,5.26E-05,-2.51E-06,-8.43E-06,5.19E-05,9.99E-01
40,3.05E+00,3.35E+00,9.50E-01,6.05E-05,-1.97E-06,-9.00E-06,5.98E-05,9.99E-01
41,3.05E+00,3.45E+00,5.00E-02,2.57E-07,2.18E-07,9.06E-08,1.00E-07,1.00E+00
42,3.05E+00,3.45E+00,1.50E-01,3.30E-06,-1.14E-06,-2.41E-06,1.94E-06,1.00E+00
43,3.05E+00,3.45E+00,2.50E-01,8.53E-06,-1.83E-06,-5.12E-06,6.57E-06,1.00E+00
44,3.05E+00,3.45E+00,3.50E-01,1.48E-05,-2.25E-06,-7.44E-06,1.26E-05,1.00E+00
45,3.05E+00,3.45E+00,4.50E-01,2.21E-05,-2.46E-06,-9.28E-06,1.99E-05,1.00E+00
46,3.05E+00,3.45E+00,5.50E-01,3.01E-05,-2.57E-06,-1.07E-05,2.80E-05,1.00E+00
47,3.05E+00,3.45E+00,6.50E-01,3.84E-05,-2.52E-06,-1.18E-05,3.65E-05,1.00E+00
48,3.05E+00,3.45E+00,7.50E-01,4.68E-05,-2.31E-06,-1.27E-05,4.50E-05,9.99E-01
49,3.05E+00,3.45E+00,8.50E-01,5.48E-05,-1.93E-06,-1.35E-05,5.31E-05,9.99E-01
